"Table 405-0004 Road motor vehicles, registrations, annual (number)(2,3)"
Survey or program details:
Road Motor Vehicles - Registration - 2747
Geography,Canada
Type of vehicle,"Total, road motor vehicle registrations"
1999,17534315
2000,17882229
2001,18101675
2002,18617413
2003,18883584
2004,19156055
2005,19515295
2006,20065171
2007,20593251
2008,21087014
2009,21387132
2010,21847601
2011,22246916
2012,22366270
2013,23006222
2014,23538004
Footnotes:
2,"For 2001, the number of trailers for Ontario was calculated using the file provided by Ontario in January, 2002"
3,"A break in the series occurs with the release of the 2010 data due to an improvement in the method used to assign vehicle type. At the national level, the main impact of this change was a net increase in the number of vehicles weighing 15 tonnes and more and a net decrease in the number of vehicles weighing from 4.5 tonnes to less than 15 tonnes. The impacts vary considerably by province and territory."
Source:
"Statistics Canada. Table 405-0004 - Road motor vehicles, registrations, annual (number)"
"(accessed: November 30, 2015)"
